序号,名称,播放,弹幕数,收藏,硬币,是否完结,评分(默认0分),评分人数(人数不足为0人)
7,漫研部,689366,40784,5164,178,1,0.0,0
8,漫研部~妄想突变~,411523,16102,3077,153,1,0.0,0
9,幕末Rock,551152,30773,46494,156,1,0.0,0
17,网球并不可笑嘛 第一季,1870139,49230,10576,842,1,0.0,0
18,网球并不可笑嘛 第二季,1197259,14341,5587,827,1,0.0,0
19,网球并不可笑嘛 第三季,1056425,12710,5333,820,1,0.0,0
24,STRANGE+ 第一季,1968965,40533,18721,507,1,0.0,0
25,STRANGE+ 第二季,1379425,28605,12204,601,1,0.0,0
46,FRANCESCA,863821,31522,11480,278,1,0.0,0
52,斩·赤红之瞳！,83099590,1308093,2275788,46944,1,8.6,3524
53,月刊少女野崎君,27972980,1160355,2662609,16854,1,9.7,7545
55,DRAMAtical Murder,4225230,176913,716434,2413,1,9.4,238
59,青春之旅,9252286,488404,325133,8502,1,9.3,732
75,黑执事,2033315,347621,206059,5423,1,9.7,3110
84,荷包蛋的蛋黄什么时候戳破才好？,2934320,64567,219837,1511,1,9.1,173
92,每度！浦安铁筋家族,6147154,24486,39425,8039,1,0.0,0
103,KERORO军曹,3165808,71665,246551,3464,1,9.7,245
106,迷你偶像,2256834,15504,15340,577,1,0.0,0
109,复仇者：世上最强英雄组合,1055212,34190,77181,777,1,9.6,103
110,犬神同学和猫山同学,1956655,65797,25610,1986,1,9.5,146
111,剑灵,2385811,72574,114133,495,1,0.0,0
113,我们大家的河合庄,6456471,245530,308739,8175,1,9.4,707
123,宝石宠物 Tinkle☆,396858,35188,23774,460,1,0.0,0
124,宝石宠物 Sunshine,73086,6559,3225,29,1,0.0,0
125,宝石宠物 第四季,167821,7065,2375,34,1,0.0,0
143,魔法科高校的劣等生,61362273,1152353,2078810,46137,1,6.8,2959
157,游☆戏☆王 GX ,4978705,103815,268842,3302,1,9.3,506
159,游☆戏☆王 ZEXAL,13443072,86212,535067,5198,1,9.5,625
162,罗德岛战记,75195,20094,3063,132,1,0.0,0
163,罗德岛战记-英雄骑士传-,79148,18835,1394,118,1,0.0,0
164,罗德岛战记 享用罗德岛战记,291942,5467,1276,65,1,0.0,0
