序号,名称,播放,弹幕数,收藏,硬币,评分(默认0分),评分人数(人数不足为0人),是否完结
7,漫研部,689338,5164,178,40779,0.0,0,1
8,漫研部~妄想突变~,411508,3077,153,16102,0.0,0,1
9,幕末Rock,551146,46492,156,30769,0.0,0,1
17,网球并不可笑嘛 第一季,1870063,10576,842,49228,0.0,0,1
18,网球并不可笑嘛 第二季,1196995,5587,827,14340,0.0,0,1
19,网球并不可笑嘛 第三季,1056381,5333,820,12708,0.0,0,1
24,STRANGE+ 第一季,1968872,18721,507,40527,0.0,0,1
25,STRANGE+ 第二季,1379376,12204,601,28603,0.0,0,1
46,FRANCESCA,863788,11480,278,31523,0.0,0,1
52,斩·赤红之瞳！,83089135,2275635,46944,1307877,8.6,3520,1
53,月刊少女野崎君,27971507,2662588,16854,1160047,9.7,7539,1
55,DRAMAtical Murder,4225022,716432,2413,176894,9.4,238,1
59,青春之旅,9251556,325123,8502,488346,9.3,732,1
75,黑执事,2031117,206001,5423,347486,9.7,3108,1
84,荷包蛋的蛋黄什么时候戳破才好？,2934241,219835,1511,64562,9.1,173,1
92,每度！浦安铁筋家族,6147060,39425,8039,24487,0.0,0,1
103,KERORO军曹,3165070,246524,3464,71657,9.7,245,1
106,迷你偶像,2256523,15340,577,15501,0.0,0,1
109,复仇者：世上最强英雄组合,1054919,77167,777,34184,9.6,103,1
110,犬神同学和猫山同学,1956485,25610,1986,65785,9.5,147,1
111,剑灵,2385731,114133,495,72571,0.0,0,1
113,我们大家的河合庄,6456004,308733,8175,245506,9.4,707,1
123,宝石宠物 Tinkle☆,396783,23774,460,35181,0.0,0,1
124,宝石宠物 Sunshine,73070,3225,29,6559,0.0,0,1
125,宝石宠物 第四季,167791,2375,34,7065,0.0,0,1
157,游☆戏☆王 GX ,4976730,268842,3302,103787,9.3,505,1
162,罗德岛战记,75140,3062,132,20086,0.0,0,1
163,罗德岛战记-英雄骑士传-,79106,1394,118,18832,0.0,0,1
164,罗德岛战记 享用罗德岛战记,291928,1276,65,5466,0.0,0,1
168,金色琴弦～Secondo Passo～,38740,631,55,24749,0.0,0,1
169,金色琴弦 Blue♪Sky,192669,13889,74,17738,0.0,0,1
170,众神的恶作剧,3398659,305462,1841,163399,9.1,136,1
173,一周的朋友。,5058533,415193,11097,477062,9.5,1057,1
177,漫画家与助手,2100414,87836,7328,343685,9.4,1748,1
183,魔法少女大战,2021699,25918,394,103846,0.0,0,1
184,NO GAME NO LIFE 游戏人生,24505826,1084828,80861,1509478,9.7,14729,1
187,棺姬嘉依卡,4608179,178054,1870,167728,0.0,0,1
188,棺姬嘉依卡 AVENGING BATTLE,3185272,63998,1116,104490,0.0,0,1
189,風雲維新大將軍【僅限港澳台地區】,300142,12600,14,11829,0.0,0,1
190,爱丝卡与罗吉的工作室 黄昏之空的炼金术士,1392815,61819,1083,81378,0.0,0,1
191,请问您今天要来点兔子吗？,4103254,348332,13305,704942,9.4,1551,1
193,龙娘七七七埋藏的宝藏,4463042,161062,1775,233787,8.9,324,1
197,目隱都市的演繹者（僅限港澳台地區）,5960226,481565,1915,316656,8.9,359,1
